room_id,room_name,lodging_id,lodging_name,cleaning_time,cleaning_cart_cost,location
266,Saraswati 8,44,Oceanview Deluxe (Private),0,0,0
219,Tent Hut North 01,48,Tent Hut Single (Private),0,0,0
230,Tent Hut North 02,48,Tent Hut Single (Private),0,0,0
240,Tent Hut North 03,48,Tent Hut Single (Private),0,0,0
241,Tent Hut North 04,48,Tent Hut Single (Private),0,0,0
242,Tent Hut North 05,48,Tent Hut Single (Private),0,0,0
243,Tent Hut North 06,48,Tent Hut Single (Private),0,0,0
244,Tent Hut North 07,48,Tent Hut Single (Private),0,0,0
245,Tent Hut North 08,48,Tent Hut Single (Private),0,0,0
246,Tent Hut North 09,48,Tent Hut Single (Private),0,0,0
220,Tent Hut North 10,48,Tent Hut Single (Private),0,0,0
221,Tent Hut North 11,48,Tent Hut Single (Private),0,0,0
222,Tent Hut North 12,48,Tent Hut Single (Private),0,0,0
223,Tent Hut North 13,48,Tent Hut Single (Private),0,0,0
224,Tent Hut North 14,48,Tent Hut Single (Private),0,0,0
225,Tent Hut North 15,48,Tent Hut Single (Private),0,0,0
226,Tent Hut North 16,48,Tent Hut Single (Private),0,0,0
227,Tent Hut North 17,48,Tent Hut Single (Private),0,0,0
228,Tent Hut North 18,48,Tent Hut Single (Private),0,0,0
229,Tent Hut North 19,48,Tent Hut Single (Private),0,0,0
231,Tent Hut North 20,48,Tent Hut Single (Private),0,0,0
232,Tent Hut North 21,48,Tent Hut Single (Private),0,0,0
233,Tent Hut North 22,48,Tent Hut Single (Private),0,0,0
234,Tent Hut North 23,48,Tent Hut Single (Private),0,0,0
235,Tent Hut North 24,48,Tent Hut Single (Private),0,0,0
236,Tent Hut North 25,48,Tent Hut Single (Private),0,0,0
237,Tent Hut North 26,48,Tent Hut Single (Private),0,0,0
238,Tent Hut North 27,48,Tent Hut Single (Private),0,0,0
239,Tent Hut North 28,48,Tent Hut Single (Private),0,0,0
409,Tent Hut West 01,49,Tent Hut Double (Private),0,0,0
420,Tent Hut West 02,49,Tent Hut Double (Private),0,0,0
426,Tent Hut West 03,49,Tent Hut Double (Private),0,0,0
427,Tent Hut West 04,49,Tent Hut Double (Private),0,0,0
428,Tent Hut West 05,49,Tent Hut Double (Private),0,0,0
429,Tent Hut West 06,49,Tent Hut Double (Private),0,0,0
430,Tent Hut West 07,48,Tent Hut Single (Private),0,0,0
431,Tent Hut West 08,48,Tent Hut Single (Private),0,0,0
432,Tent Hut West 09,48,Tent Hut Single (Private),0,0,0
410,Tent Hut West 10,48,Tent Hut Single (Private),0,0,0
411,Tent Hut West 11,48,Tent Hut Single (Private),0,0,0
412,Tent Hut West 12,48,Tent Hut Single (Private),0,0,0
413,Tent Hut West 13,48,Tent Hut Single (Private),0,0,0
414,Tent Hut West 14,48,Tent Hut Single (Private),0,0,0
415,Tent Hut West 15,48,Tent Hut Single (Private),0,0,0
416,Tent Hut West 16,48,Tent Hut Single (Private),0,0,0
417,Tent Hut West 17,48,Tent Hut Single (Private),0,0,0
418,Tent Hut West 18,48,Tent Hut Single (Private),0,0,0
419,Tent Hut West 19,48,Tent Hut Single (Private),0,0,0
421,Tent Hut West 20,48,Tent Hut Single (Private),0,0,0
422,Tent Hut West 21,48,Tent Hut Single (Private),0,0,0
423,Tent Hut West 22,48,Tent Hut Single (Private),0,0,0
424,Tent Hut West 23,48,Tent Hut Single (Private),0,0,0
425,Tent Hut West 24,48,Tent Hut Single (Private),0,0,0
98,Tent Hut ﻿ East 01,49,Tent Hut Double (Private),0,0,0
106,Tent Hut ﻿ East 02,49,Tent Hut Double (Private),0,0,0
107,Tent Hut ﻿ East 03,49,Tent Hut Double (Private),0,0,0
108,Tent Hut ﻿ East 04,49,Tent Hut Double (Private),0,0,0
109,Tent Hut ﻿ East 05,48,Tent Hut Single (Private),0,0,0
110,Tent Hut ﻿ East 06,48,Tent Hut Single (Private),0,0,0
111,Tent Hut ﻿ East 07,48,Tent Hut Single (Private),0,0,0
112,Tent Hut ﻿ East 08,48,Tent Hut Single (Private),0,0,0
113,Tent Hut ﻿ East 09,48,Tent Hut Single (Private),0,0,0
99,Tent Hut ﻿ East 10,48,Tent Hut Single (Private),0,0,0
100,Tent Hut ﻿ East 11,48,Tent Hut Single (Private),0,0,0
101,Tent Hut ﻿ East 12,48,Tent Hut Single (Private),0,0,0
102,Tent Hut ﻿ East 13,48,Tent Hut Single (Private),0,0,0
103,Tent Hut ﻿ East 14,48,Tent Hut Single (Private),0,0,0
104,Tent Hut ﻿ East 15,48,Tent Hut Single (Private),0,0,0
105,Tent Hut ﻿ East 16,48,Tent Hut Single (Private),0,0,0
134,Tent Space 01,50,Tent Space,0,0,0
135,Tent Space 02,50,Tent Space,0,0,0
136,Tent Space 03,50,Tent Space,0,0,0
137,Tent Space 04,50,Tent Space,0,0,0
138,Tent Space 05,50,Tent Space,0,0,0
139,Tent Space 06,50,Tent Space,0,0,0
140,Tent Space 07,50,Tent Space,0,0,0
141,Tent Space 08,50,Tent Space,0,0,0
142,Tent Space 09,50,Tent Space,0,0,0
143,Tent Space 10,50,Tent Space,0,0,0
144,Tent Space 11,50,Tent Space,0,0,0
145,Tent Space 12,50,Tent Space,0,0,0
146,Tent Space 13,50,Tent Space,0,0,0
147,Tent Space 14,50,Tent Space,0,0,0
148,Tent Space 15,50,Tent Space,0,0,0
149,Tent Space 16,50,Tent Space,0,0,0
150,Tent Space 17,50,Tent Space,0,0,0
151,Tent Space 18,50,Tent Space,0,0,0
152,Tent Space 19,50,Tent Space,0,0,0
153,Tent Space 20,50,Tent Space,0,0,0
154,Tent Space 21,50,Tent Space,0,0,0
155,Tent Space 22,50,Tent Space,0,0,0
156,Tent Space 23,50,Tent Space,0,0,0
157,Tent Space 24,50,Tent Space,0,0,0
158,Tent Space 25,50,Tent Space,0,0,0
159,Tent Space 26,50,Tent Space,0,0,0
160,Tent Space 27,50,Tent Space,0,0,0
161,Tent Space 28,50,Tent Space,0,0,0
162,Tent Space 29,50,Tent Space,0,0,0
163,Tent Space 30,50,Tent Space,0,0,0
164,Tent Space 31,50,Tent Space,0,0,0
165,Tent Space 32,50,Tent Space,0,0,0
166,Tent Space 33,50,Tent Space,0,0,0
167,Tent Space 34,50,Tent Space,0,0,0
168,Tent Space 35,50,Tent Space,0,0,0
169,Tent Space 36,50,Tent Space,0,0,0
170,Tent Space 37,50,Tent Space,0,0,0
171,Tent Space 38,50,Tent Space,0,0,0
172,Tent Space 39,50,Tent Space,0,0,0
173,Tent Space 40,50,Tent Space,0,0,0
174,Tent Space 41,50,Tent Space,0,0,0
175,Tent Space 42,50,Tent Space,0,0,0
176,Tent Space 43,50,Tent Space,0,0,0
177,Tent Space 44,50,Tent Space,0,0,0
178,Tent Space 45,50,Tent Space,0,0,0
179,Tent Space 46,50,Tent Space,0,0,0
180,Tent Space 47,50,Tent Space,0,0,0
181,Tent Space 48,50,Tent Space,0,0,0
182,Tent Space 49,50,Tent Space,0,0,0
183,Tent Space 50,50,Tent Space,0,0,0
184,Tent Space 51,50,Tent Space,0,0,0
185,Tent Space 52,50,Tent Space,0,0,0
186,Tent Space 53,50,Tent Space,0,0,0
187,Tent Space 54,50,Tent Space,0,0,0
188,Tent Space 55,50,Tent Space,0,0,0
326,Tent Space 56,50,Tent Space,0,0,0
355,Tent Space 57,50,Tent Space,0,0,0
354,Tent Space 58,50,Tent Space,0,0,0
353,Tent Space 59,50,Tent Space,0,0,0
352,Tent Space 60,50,Tent Space,0,0,0
351,Tent Space 61,50,Tent Space,0,0,0
343,Tent Space 62,50,Tent Space,0,0,0
342,Tent Space 63,50,Tent Space,0,0,0
341,Tent Space 64,50,Tent Space,0,0,0
340,Tent Space 65,50,Tent Space,0,0,0
339,Tent Space 66,50,Tent Space,0,0,0
338,Tent Space 67,50,Tent Space,0,0,0
336,Tent Space 68,50,Tent Space,0,0,0
335,Tent Space 69,50,Tent Space,0,0,0
350,Tent Space 70,50,Tent Space,0,0,0
349,Tent Space 71,50,Tent Space,0,0,0
347,Tent Space 72,50,Tent Space,0,0,0
346,Tent Space 73,50,Tent Space,0,0,0
345,Tent Space 74,50,Tent Space,0,0,0
344,Tent Space 75,50,Tent Space,0,0,0
356,Tent Space 76,50,Tent Space,0,0,0
6252,Tent Space 77,50,Tent Space,0,0,0
6253,Tent Space 78,50,Tent Space,0,0,0
6254,Tent Space 79,50,Tent Space,0,0,0
6255,Tent Space 80,50,Tent Space,0,0,0
6349,Tent Space 81,50,Tent Space,0,0,0
6350,Tent Space 82,50,Tent Space,0,0,0
6351,Tent Space 83,50,Tent Space,0,0,0
6352,Tent Space 84,50,Tent Space,0,0,0
6353,Tent Space 85,50,Tent Space,0,0,0
6387,Tent Space 86,50,Tent Space,0,0,0
6388,Tent Space 87,50,Tent Space,0,0,0
6389,Tent Space 88,50,Tent Space,0,0,0
6390,Tent Space 89,50,Tent Space,0,0,0
6391,Tent Space 90,50,Tent Space,0,0,0
6392,Tent Space 91,50,Tent Space,0,0,0
6393,Tent Space 92,50,Tent Space,0,0,0
6394,Tent Space 93,50,Tent Space,0,0,0
6395,Tent Space 94,50,Tent Space,0,0,0
6396,Tent Space 95,50,Tent Space,0,0,0
6397,Tent Space 96,50,Tent Space,0,0,0
6398,Tent Space 97,50,Tent Space,0,0,0
6399,Tent Space 98,50,Tent Space,0,0,0
6400,Tent Space 99,50,Tent Space,0,0,0
6401,Tent Space 100,50,Tent Space,0,0,0
402,Vishnu,43,External Accommodation,0,0,0
433,Yamuna 1,36,Beachfront Deluxe (Private),0,0,0
434,Yamuna 2,36,Beachfront Deluxe (Private),0,0,0
435,Yamuna 3,42,Staff Residence,0,0,0
436,Yamuna 4,36,Beachfront Deluxe (Private),0,0,0
5994,z_Ashram Ground Tent 5,43,External Accommodation,0,0,0
6044,z_Ashram Ground Tent New York,43,External Accommodation,0,0,0
64,﻿11,40,Twin Bed (Shared),0,0,0
75,﻿24,40,Twin Bed (Shared),0,0,0
